@relation statistic_data_set

@attribute compression numeric
@attribute entropy numeric
@attribute languageIC numeric
@attribute longestWord numeric
@attribute fileSize numeric
@attribute class {yes,no}

@data
0.58231,5.600894,0.023266,1628,1628,yes
0.091474,5.446678,0.031691,216356,216356,yes
0.383542,5.358123,0.035619,9600,9600,yes
0.867925,5.473409,0.022355,212,212,yes
0.641956,5.720167,0.019825,1268,1268,yes
0.415975,5.513789,0.027819,4820,4820,yes
0.295576,4.877012,0.0631,8228,8228,yes
0.845,4.866688,0.068141,200,200,yes
0.277778,5.418022,0.031902,24912,24912,yes
1.08,5.342467,0.020404,100,100,yes
0.372159,5.604817,0.023762,9856,9856,yes
0.773936,5.521166,0.022652,376,376,yes
0.306714,5.408732,0.034929,10932,10932,yes
0.547374,5.568735,0.024661,1752,1752,yes
0.429361,5.620508,0.023361,6512,6512,yes
0.556818,5.639969,0.022103,2992,2992,yes
0.326623,5.48459,0.030613,6656,6656,yes
0.716797,5.42539,0.025845,512,512,yes
0.491984,5.415818,0.031763,1996,1996,yes
0.512734,5.667344,0.021976,3848,3848,yes
0.743852,5.521046,0.023404,488,488,yes
0.498584,5.492895,0.026481,1412,1412,yes
0.532808,5.457688,0.028963,1524,1524,yes
0.583112,5.543386,0.027162,1504,1504,yes
0.271868,5.490837,0.025156,3384,3384,yes
0.556228,5.602951,0.022484,1156,1156,yes
0.427298,5.351464,0.033488,2132,2132,yes
0.317666,5.398259,0.033954,12872,12872,yes
1.105263,5.149455,0.019649,76,76,yes
0.678846,5.560303,0.022543,520,520,yes
0.333247,5.481523,0.0283,11580,11580,yes
0.350462,5.654139,0.022328,3464,3464,yes
0.608491,5.529039,0.023627,848,848,yes
0.424651,5.287534,0.037858,2004,2004,yes
0.271721,5.612516,0.023603,4696,4696,yes
0.364281,5.317114,0.03772,5924,5924,yes
0.212443,5.35125,0.034831,12248,12248,yes
0.96,5.19311,0.02303,100,100,yes
0.369751,5.646122,0.023213,11908,11908,yes
0.7975,5.619824,0.02104,400,400,yes
0.467866,5.437349,0.030296,1556,1556,yes
0.463229,5.492144,0.027227,4460,4460,yes
0.390726,5.580031,0.024825,13672,13672,yes
0.436094,5.613713,0.023138,1956,1956,yes
0.451224,5.646243,0.022783,5720,5720,yes
0.606061,5.530014,0.025627,1056,1056,yes
0.300248,5.479167,0.030005,17712,17712,yes
0.298424,5.305755,0.03779,11296,11296,yes
0.777228,5.532756,0.02264,404,404,yes
0.337899,5.660432,0.02259,5768,5768,yes
1.2,4.434184,0.029487,40,40,yes
1.041667,5.156228,0.022149,96,96,yes
0.722222,5.582444,0.023152,684,684,yes
0.42973,5.527397,0.028068,2960,2960,yes
0.508974,5.442471,0.027925,780,780,yes
0.5671,5.443272,0.027402,924,924,yes
0.287977,5.493013,0.028179,19828,19828,yes
0.598856,5.68083,0.021397,1224,1224,yes
0.475485,5.718906,0.020783,4120,4120,yes
0.56125,5.424622,0.032287,800,800,yes
0.487779,5.531562,0.026992,3764,3764,yes
0.595442,5.673486,0.02176,1404,1404,yes
0.506224,5.715813,0.021152,4820,4820,yes
0.435225,5.445029,0.029037,1868,1868,yes
0.239462,5.46887,0.029238,7212,7212,yes
0.27308,5.005022,0.056351,18804,18804,yes
0.425645,5.654517,0.022609,7128,7128,yes
0.342125,5.424278,0.031188,10464,10464,yes
0.780093,5.633001,0.020613,432,432,yes
1.071429,5.17173,0.018646,84,84,yes
0.459993,5.653907,0.022455,5524,5524,yes
0.412481,5.665996,0.022361,12900,12900,yes
0.116431,5.341621,0.03477,28008,28008,yes
0.289515,5.579225,0.025079,17664,17664,yes
0.548193,5.279387,0.03644,664,664,yes
0.486877,5.3736,0.033377,1524,1524,yes
0.299099,5.103021,0.042859,6884,6884,yes
0.930556,5.507623,0.017871,144,144,yes
0.566377,5.525703,0.026422,1612,1612,yes
0.395748,5.451918,0.030792,7856,7856,yes
0.130092,5.39546,0.032142,37512,37512,yes
0.4925,5.490244,0.028691,1600,1600,yes
0.710598,5.694091,0.01995,736,736,yes
0.367749,5.656485,0.02244,28892,28892,yes
0.59144,5.492644,0.026305,1028,1028,yes
0.444089,5.570695,0.028207,20944,20944,yes
0.357867,5.558778,0.025752,11440,11440,yes
0.372253,5.518165,0.029373,6552,6552,yes
0.354698,5.585809,0.025201,5492,5492,yes
0.420644,5.693678,0.021847,8884,8884,yes
0.303073,5.675637,0.021909,12040,12040,yes
0.274,5.401624,0.031037,7000,7000,yes
0.402622,4.89693,0.060474,1068,1068,yes
0.559075,5.671224,0.02166,3504,3504,yes
0.411889,5.441502,0.030408,2372,2372,yes
0.419646,5.680727,0.022162,11300,11300,yes
0.476946,5.642388,0.02262,3340,3340,yes
0.49912,5.645443,0.022547,4544,4544,yes
0.8125,5.586322,0.020963,352,352,yes
0.635031,5.759666,0.019577,1296,1296,yes
0.663732,5.569298,0.022387,568,568,yes
1.009259,5.210977,0.021288,108,108,yes
0.586705,5.577199,0.024454,1384,1384,yes
0.85119,5.401496,0.021315,168,168,yes
0.443326,5.60599,0.023501,5364,5364,yes
0.345155,5.374518,0.034054,12096,12096,yes
0.486636,5.660999,0.022466,7408,7408,yes
0.728365,5.481287,0.023413,416,416,yes
0.65099,5.504766,0.02404,404,404,yes
0.511249,5.733435,0.020307,4356,4356,yes
0.41658,5.43562,0.029757,3860,3860,yes
0.382289,5.504968,0.027631,3704,3704,yes
0.585077,5.651845,0.022103,2868,2868,yes
0.759174,5.636555,0.020774,436,436,yes
0.357425,5.421739,0.03356,5064,5064,yes
0.696833,5.673076,0.020949,884,884,yes
0.528491,5.669504,0.021907,2492,2492,yes
0.260309,5.477727,0.030915,13192,13192,yes
0.345815,5.198361,0.043194,7264,7264,yes
0.649351,5.560405,0.024058,616,616,yes
0.573077,5.495324,0.026033,780,780,yes
0.52582,5.721125,0.020711,2440,2440,yes
0.882353,5.611463,0.0184,204,204,yes
0.423463,5.636242,0.023632,6572,6572,yes
0.581044,5.652809,0.022094,2912,2912,yes
0.51871,5.602132,0.023499,5024,5024,yes
0.412273,5.62772,0.02325,9712,9712,yes
0.833333,5.49541,0.024366,288,288,yes
0.433439,5.466464,0.03143,3140,3140,yes
0.382089,5.64844,0.022918,14460,14460,yes
0.335691,5.388993,0.03198,3676,3676,yes
0.412844,5.093159,0.047815,1308,1308,yes
0.534024,5.552043,0.029105,2028,2028,yes
0.684109,5.515618,0.023391,516,516,yes
0.609428,5.670492,0.021304,1188,1188,yes
0.372777,5.294222,0.037888,2924,2924,yes
0.231528,5.58548,0.024213,5576,5576,yes
0.479452,5.512611,0.025652,876,876,yes
0.500909,5.657849,0.022296,5500,5500,yes
0.349536,5.727585,0.020613,7324,7324,yes
0.55429,5.422847,0.034399,1492,1492,yes
0.480666,5.6218,0.023029,5224,5224,yes
0.465628,5.546434,0.026372,4684,4684,yes
0.368885,5.457398,0.031313,8504,8504,yes
1.016129,5.324799,0.020587,124,124,yes
0.398611,5.474707,0.02736,1440,1440,yes
0.387419,5.355398,0.034665,3100,3100,yes
0.606383,5.507843,0.026037,1128,1128,yes
0.437432,5.731519,0.020433,7352,7352,yes
0.569462,5.656603,0.021907,3124,3124,yes
0.395941,5.268573,0.038245,2316,2316,yes
0.638009,5.591286,0.023416,884,884,yes
0.743182,5.626015,0.021091,440,440,yes
0.641667,5.411822,0.026277,600,600,yes
0.450664,5.586922,0.024361,2108,2108,yes
0.759091,5.326752,0.024782,220,220,yes
0.744094,5.568726,0.022675,508,508,yes
0.379103,5.41903,0.031657,4996,4996,yes
1.075,5.104627,0.020253,80,80,yes
0.355087,5.403002,0.033861,7156,7156,yes
0.391038,5.658125,0.022542,8480,8480,yes
0.288881,5.382314,0.033432,5504,5504,yes
0.723333,5.554375,0.023066,600,600,yes
0.342488,5.513245,0.029754,8120,8120,yes
0.4931,5.672969,0.021791,4348,4348,yes
0.341844,5.388855,0.032759,6032,6032,yes
